edition,product,version,checksum,date,dlnumber,url,filename,filetype,size,family
Citrix Virtual Apps and Desktops 7 2112,Sources: Session Recording,2112,SHA-256 - 5e6a0127c127b19af851fd83dc2cb70b1918dc20ef21af84bf66efc02fb52916,"Feb 23, 2017",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip,zip,18.1 KB,cvad
Citrix Virtual Apps and Desktops 7 2109,Citrix Virtual Apps and Desktops 7 2109,2109,SHA-256 - 3038752a98413a5003db56b8cc85299950b87df7d30081b673aef594e34f501b,"Sep 27, 2021",19799,https://secureportal.citrix.com/udl.asp?DLID=19799&URL=https://downloads.citrix.com/19799/Citrix_Virtual_Apps_and_Desktops_7_2109.iso,Citrix_Virtual_Apps_and_Desktops_7_2109.iso,iso,2.88 GB,cvad
Citrix Virtual Apps and Desktops 7 2109,Multi-session OS Virtual Delivery Agent 2109,2109,SHA-256 - 1aa150b37098db5e1ff606156457644955b1e7589a1e4e61202974ddf15b908f,"Sep 27, 2021",19800,https://secureportal.citrix.com/udl.asp?DLID=19800&URL=https://downloads.citrix.com/19800/VDAServerSetup_2109.exe,VDAServerSetup_2109.exe,exe,486 MB,cvad
Citrix Virtual Apps and Desktops 7 2109,Single-session OS Virtual Delivery Agent 2109,2109,SHA-256 - 1532c7d222046b2888ab099f5399c44bc99db6681d755262a756b7cb9731aca8,"Sep 27, 2021",19801,https://secureportal.citrix.com/udl.asp?DLID=19801&URL=https://downloads.citrix.com/19801/VDAWorkstationSetup_2109.exe,VDAWorkstationSetup_2109.exe,exe,491 MB,cvad
Citrix Virtual Apps and Desktops 7 2109,Single-session OS Core Services Virtual Delivery Agent 2109,2109,SHA-256 - c243b29678fe12617c9d4047c9419bbe4f0d8f36b678f556dd59b871463e647d,"Sep 27, 2021",19802,https://secureportal.citrix.com/udl.asp?DLID=19802&URL=https://downloads.citrix.com/19802/VDAWorkstationCoreSetup_2109.exe,VDAWorkstationCoreSetup_2109.exe,exe,266 MB,cvad
Citrix Virtual Apps and Desktops 7 2109,License Server for Windows - Version 11.17.2.0 Build 36000,2109,SHA-256 - 53562ca0607e49777deb618a85df4af8a71c8d61515d4ae5b9195dc774958104,"Sep 16, 2021",9803,https://secureportal.citrix.com/udl.asp?DLID=9803&URL=https://downloads.citrix.com/9803/Citrix_Licensing_11.17.2.0_BUILD_36000.zip,Citrix_Licensing_11.17.2.0_BUILD_36000.zip,zip,53.5 MB,cvad
Citrix Virtual Apps and Desktops 7 2109,Profile Management 2109,2109,SHA-256 - 272a6dcc7822458b304a83b5527ce253479006390a036f7bc67f9bdd880b78eb,"Sep 27, 2021",19803,https://secureportal.citrix.com/udl.asp?DLID=19803&URL=https://downloads.citrix.com/19803/ProfileMgmt_2109.zip,ProfileMgmt_2109.zip,zip,13.4 MB,cvad
Citrix Virtual Apps and Desktops 7 2109,StoreFront 1912 LTSR CU3,2109,SHA-256 - 100346fd79ed3854e81125e87ccece19d5189f95a6b11da61e0f33cf59c4fb46,"May 12, 2021",19430,https://secureportal.citrix.com/udl.asp?DLID=19430&URL=https://downloads.citrix.com/19430/CitrixStoreFront-x64.exe,CitrixStoreFront-x64.exe,exe,47.1 MB,cvad
Citrix Virtual Apps and Desktops 7 2109,Sources: Session Recording,2109,SHA-256 - 5e6a0127c127b19af851fd83dc2cb70b1918dc20ef21af84bf66efc02fb52916,"Feb 23, 2017",12292,https://secureportal.citrix.com/udl.asp?DLID=12292&URL=https://downloads.citrix.com/12292/MMCFormsShim.zip,MMCFormsShim.zip,zip,18.1 KB,cvad
Citrix Virtual Apps and Desktops 7 2106,Citrix Virtual Apps and Desktops 7 2106,2106,SHA-256 - ae7a5809a6b67c8f94be6b732cabaf8ee4578815f255c2aa75a5a49841fd3a48,"Jun 16, 2021",19467,https://secureportal.citrix.com/udl.asp?DLID=19467&URL=https://downloads.citrix.com/19467/Citrix_Virtual_Apps_and_Desktops_7_2106.iso,Citrix_Virtual_Apps_and_Desktops_7_2106.iso,iso,2.88 GB,cvad
